Continent,Country,Total_Cases,Total_Deaths,Total_Cases_Per_Million,Total_Deaths_Per_Million,Total_tests,Positive_rate,Total_Vaccinations,People_Vaccinated,People_Fully_Vaccinated,Median_Age,GDP_Per_Capita,density,pop2021,Vaccinatiegraad
Azië,Afghanistan,155540.0,7228.0,3904.565,181.447,,,2369625.0,828601.0,,18.6,1803.987,61.0757,39835428.0,
Europa,Albania,175163.0,2777.0,60970.074,966.608,,,1795351.0,962281.0,833070.0,38.0,11803.431,99.9351,2872933.0,28.997195548939008
Afrika,Algeria,204695.0,5855.0,4587.864,131.229,,,,,,29.1,13913.839,18.7328,44616624.0,
Europa,Andorra,15307.0,130.0,197882.462,1680.585,215733.0,0.054,,,,,,165.2885,77355.0,
Afrika,Angola,61580.0,1629.0,1814.72,48.006,,,4074677.0,2863708.0,1210969.0,16.8,5819.495,27.2187,33933610.0,3.5686418273799934
Noord-Amerika,Anguilla,,,,,,,18704.0,9548.0,9156.0,,,166.1209,15117.0,60.56757293113713
Noord-Amerika,Antigua and Barbuda,3750.0,93.0,37983.146,941.982,,,98840.0,54435.0,44405.0,32.1,21490.943,223.3733,98731.0,44.97574216811336
Zuid-Amerika,Argentina,5266275.0,115491.0,115473.741,2532.374,24156096.0,0.019,54115894.0,30265200.0,23928986.0,31.9,18933.907,16.4026,45605826.0,52.469142867843246
Azië,Armenia,272957.0,5575.0,91962.678,1878.288,1770914.0,0.102,514241.0,344029.0,170212.0,35.7,8787.58,99.7925,2968127.0,5.734660275655321
Noord-Amerika,Aruba,,,,,,,157541.0,81871.0,75670.0,41.2,35973.781,595.5778,107204.0,70.58505279653744
Oceanië,Australia,131415.0,1461.0,5095.932,56.654,39943525.0,0.012,31020482.0,17808025.0,13212457.0,37.9,44648.71,3.3526,25788215.0,51.23447667859137
Europa,Austria,762538.0,11106.0,84322.894,1228.122,90377770.0,0.005,10957619.0,5790455.0,5483648.0,44.4,45436.686,107.8212,9043070.0,60.639229819076924
Azië,Azerbaijan,492790.0,6677.0,48202.428,653.113,4952737.0,0.087,8997289.0,4889404.0,4107885.0,32.4,15847.419,118.0524,10223342.0,40.181429908145496
Noord-Amerika,Bahamas,21580.0,590.0,54369.46,1486.468,147633.0,0.178,224531.0,129121.0,100098.0,34.3,27717.847,28.4668,396913.0,25.21912862516471
Azië,Bahrain,275734.0,1390.0,157715.946,795.06,6612314.0,0.004,2669575.0,1168806.0,1129802.0,32.4,43290.705,2285.3542,1748296.0,64.6230386616454
Azië,Bangladesh,1562958.0,27699.0,9398.227,166.557,9907321.0,0.035,54798986.0,36580037.0,18218949.0,27.5,3523.984,1126.9465,166303498.0,10.95524100160539
Noord-Amerika,Barbados,11132.0,98.0,38692.007,340.623,,,253554.0,141820.0,111734.0,39.8,16978.068,669.0953,287711.0,38.83549812137874
Europa,Belarus,559715.0,4304.0,59273.841,455.794,,,3862369.0,2234696.0,1627673.0,40.3,17167.967,45.4858,9442862.0,17.23707282813198
Europa,Belgium,1266562.0,25695.0,108882.878,2208.929,20514883.0,0.051,16712328.0,8632421.0,8470856.0,41.8,42658.576,381.0379,11632326.0,72.82168673745905
Noord-Amerika,Belize,22187.0,427.0,54794.216,1054.542,278894.0,0.076,344463.0,199932.0,144531.0,25.0,7824.362,17.631,404914.0,35.694246185609785
Afrika,Benin,24335.0,159.0,1954.457,12.77,,,247674.0,226269.0,21405.0,18.8,2064.236,110.556,12451040.0,0.17191335021010293
Noord-Amerika,Bermuda,,,,,,,87723.0,44573.0,43150.0,,50669.315,1149.8148,62090.0,69.49589305846352
Azië,Bhutan,2613.0,3.0,3350.43,3.847,1160858.0,0.001,1083271.0,584977.0,498294.0,28.6,8708.597,20.313,779898.0,63.892201287860715
Zuid-Amerika,Bolivia,504121.0,18803.0,42603.205,1589.039,2456130.0,0.055,6931689.0,4357421.0,3465762.0,25.4,6885.829,10.7711,11832940.0,29.289103130751954
Europa,Bosnia and Herzegovina,241227.0,10965.0,73917.583,3359.932,1253492.0,0.238,1242203.0,734195.0,508008.0,42.5,11713.895,63.7284,3263466.0,15.566517316252106
Afrika,Botswana,181251.0,2381.0,75608.199,993.226,,,690001.0,444442.0,245559.0,25.8,15807.374,4.119,2397241.0,10.243400642655452
Zuid-Amerika,Brazil,21582738.0,601213.0,100857.007,2809.493,,,249340259.0,154414034.0,99584719.0,33.5,14103.452,25.1291,213993437.0,46.53634260755389
Noord-Amerika,British Virgin Islands,,,,,,,33075.0,17607.0,15468.0,,,201.4636,30421.0,50.84645475165181
Azië,Brunei,9167.0,64.0,20761.802,144.95,,,542019.0,330410.0,211609.0,32.4,71809.251,76.5884,441532.0,47.92608463259741
Europa,Bulgaria,524333.0,21813.0,76027.146,3162.838,4990220.0,0.126,2593879.0,1407830.0,1365088.0,44.7,18563.307,62.1999,6896663.0,19.793456632577232
Afrika,Burkina Faso,14516.0,195.0,675.254,9.071,,,297231.0,273428.0,208994.0,17.6,1703.102,78.7535,21497096.0,0.9721964306248622
Afrika,Burundi,19257.0,38.0,1571.304,3.101,,,,,,17.5,702.225,440.3044,12255433.0,
Azië,Cambodia,115068.0,2527.0,6790.096,149.117,,,25162526.0,13510285.0,11724361.0,25.6,3645.07,93.6086,16946438.0,69.18481040086418
Afrika,Cameroon,95399.0,1517.0,3504.19,55.722,,,476512.0,391795.0,84717.0,18.8,3364.926,57.261,27224265.0,0.3111819547745366
Noord-Amerika,Canada,1668009.0,28264.0,43816.665,742.463,44186056.0,0.036,57071632.0,29363912.0,27431198.0,41.4,44017.591,3.8126,38067903.0,72.0586001283023
Afrika,Cape Verde,37902.0,346.0,67453.163,615.767,,,460484.0,291055.0,166158.0,25.7,6222.554,139.3251,561898.0,29.57084737799387
Noord-Amerika,Cayman Islands,,,,,,,108614.0,55530.0,55530.0,,49903.029,251.8826,66497.0,83.50752665533784
Afrika,Central African Republic,11401.0,100.0,2317.283,20.325,,,207004.0,197103.0,9901.0,18.3,661.24,7.8974,4919981.0,0.20124061454708872
Afrika,Chad,5061.0,174.0,299.202,10.287,,,173184.0,139591.0,33593.0,16.7,1768.153,13.1737,16914985.0,0.19859905285165785
Zuid-Amerika,Chile,1663383.0,37571.0,86578.787,1955.564,22194480.0,0.016,33398155.0,15929675.0,14215986.0,35.4,22767.037,25.4097,19212361.0,73.99395628678849
Azië,China,96512.0,4636.0,66.827,3.21,,,2222666000.0,1154856151.0,1047872000.0,38.7,15308.712,148.7815,1444216107.0,72.55645432294018
Zuid-Amerika,Colombia,4973325.0,126655.0,97010.503,2470.553,25954762.0,0.037,42885532.0,27832514.0,18501504.0,32.2,13254.949,44.9012,51265844.0,36.08933854673298
Afrika,Comoros,4166.0,147.0,4689.034,165.456,,,360675.0,198577.0,162098.0,20.4,1413.89,477.1488,888451.0,18.24501294950425
Oceanië,Cook Islands,,,,,,,22536.0,11404.0,11132.0,,,74.428,17565.0,63.3760318815827
Noord-Amerika,Costa Rica,546595.0,6698.0,106361.036,1303.353,1927328.0,0.281,5760293.0,3470013.0,2290280.0,33.6,15524.995,100.5685,5139052.0,44.56619625565182
Europa,Croatia,418028.0,8778.0,102416.249,2150.597,2913176.0,0.143,3486793.0,1852899.0,1633894.0,44.0,22669.797,72.1216,4081651.0,40.03022306414732
Noord-Amerika,Cuba,921328.0,7891.0,81407.392,697.239,,,22875849.0,9623676.0,6184534.0,43.1,,102.995,11317505.0,54.64573684747654
Noord-Amerika,Curacao,,,,,,,188871.0,98611.0,90260.0,41.7,,371.1667,164798.0,54.77008216119128
Europa,Cyprus,121364.0,560.0,135450.137,624.997,13835984.0,0.002,1186491.0,599052.0,563053.0,37.3,32415.132,131.4003,1215584.0,46.31954681864848
Europa,Denmark,366388.0,2673.0,63025.798,459.808,41501675.0,0.015,8804552.0,4462629.0,4388221.0,42.3,46682.515,134.8981,5813298.0,75.48591178363814
Afrika,Djibouti,13229.0,177.0,13200.0,176.612,,,92097.0,66010.0,26087.0,25.4,2705.406,43.1977,1002187.0,2.6030072232028556
Noord-Amerika,Dominica,4020.0,26.0,55700.272,360.251,,,48091.0,26294.0,21797.0,,9673.367,96.0945,72167.0,30.203555641775324
Noord-Amerika,Dominican Republic,366191.0,4067.0,33430.761,371.29,,,12125221.0,6134235.0,4973191.0,27.6,14600.861,225.056,10953703.0,45.401915680934565
Zuid-Amerika,Ecuador,512044.0,32848.0,28624.242,1836.266,1761061.0,0.105,21155212.0,11563516.0,9978130.0,28.1,10581.936,64.6164,17888475.0,55.779657013803586
Afrika,Egypt,313259.0,17726.0,3004.642,170.02,,,20154366.0,13552189.0,6602177.0,25.3,10550.206,104.0035,104258327.0,6.332517689450359
Noord-Amerika,El Salvador,107664.0,3392.0,16516.683,520.365,,,7994792.0,4199362.0,3571027.0,27.6,7292.458,309.7999,6518499.0,54.78296460580879
Afrika,Equatorial Guinea,12786.0,155.0,8818.594,106.905,230491.0,0.049,410064.0,234307.0,175757.0,22.4,22604.873,51.6879,1449896.0,12.122041856795246
Afrika,Eritrea,6755.0,43.0,1875.627,11.94,,,,,,19.3,1510.459,30.6247,3601467.0,
Europa,Estonia,165345.0,1400.0,124770.976,1056.454,1997046.0,0.143,1390624.0,766338.0,721028.0,42.7,29481.252,29.3007,1325185.0,54.409610733595684
Afrika,Eswatini,46284.0,1229.0,39479.038,1048.305,,,258552.0,227080.0,219736.0,21.5,7738.975,67.5168,1172362.0,18.743016235599587
Afrika,Ethiopia,355001.0,6026.0,3011.642,51.121,3557710.0,0.107,3873996.0,2956130.0,917866.0,19.8,1729.927,106.7429,117876227.0,0.7786693070859827
Oceanië,Fiji,51535.0,653.0,57077.259,723.226,,,1055883.0,593442.0,462441.0,28.6,8702.975,49.4147,902906.0,51.2169594620038
Europa,Finland,147297.0,1100.0,26547.84,198.257,7224917.0,0.049,7786863.0,4163232.0,3623631.0,42.8,40585.721,16.3947,5548360.0,65.30994744392937
Europa,France,7157206.0,117966.0,105931.848,1745.983,,0.01,96292913.0,50642821.0,45085758.0,42.0,38605.671,118.5912,65426179.0,68.91088351652019
Oceanië,French Polynesia,,,,,,,294961.0,153079.0,141882.0,32.7,,67.8018,282530.0,50.21838388843663
Afrika,Gabon,32576.0,205.0,14295.061,89.958,1188832.0,0.013,186365.0,105903.0,80462.0,23.1,16562.413,8.5136,2278825.0,3.530854716794839
Afrika,Gambia,9941.0,339.0,3997.287,136.312,,,208379.0,184817.0,171987.0,17.5,1561.767,232.664,2486945.0,6.915593227835758
Azië,Georgia,635583.0,9269.0,159703.33,2329.027,8900000.0,0.055,1882118.0,1002488.0,879630.0,38.7,9745.079,57.0985,3979765.0,22.102561332138958
Europa,Germany,4323346.0,94308.0,51529.46,1124.046,75158696.0,0.066,109141510.0,57022688.0,54312772.0,46.6,45229.245,234.9403,83900473.0,64.73476257994398
Afrika,Ghana,128368.0,1158.0,4045.364,36.493,,,2189552.0,1369515.0,820037.0,21.1,4227.63,133.0304,31732129.0,2.5842482866497862
Europa,Greece,679157.0,15177.0,65487.761,1463.443,21991126.0,0.012,12315494.0,6504849.0,6255864.0,45.3,24574.382,78.5722,10370744.0,60.322229533387386
Noord-Amerika,Greenland,,,,,,,76359.0,39951.0,36408.0,,,0.0263,56877.0,64.01181496914394
Noord-Amerika,Grenada,5653.0,183.0,50019.909,1619.254,,,62095.0,35762.0,26333.0,29.4,13593.877,328.5494,113021.0,23.299209881349483
Noord-Amerika,Guatemala,579774.0,14066.0,31768.668,770.745,2228737.0,0.165,7650606.0,4844170.0,2806436.0,22.9,7423.808,167.6006,18249860.0,15.377849473913772
Afrika,Guinea,30523.0,383.0,2261.426,28.376,,,1857641.0,1256095.0,601546.0,19.0,1998.926,54.8988,13497244.0,4.456806145017457
Afrika,Guinea-Bissau,6119.0,141.0,3035.986,69.958,,,117768.0,108632.0,9139.0,19.4,1548.675,55.7922,2015494.0,0.453437221842387
Zuid-Amerika,Guyana,33748.0,842.0,42701.204,1065.379,,,586207.0,366190.0,220017.0,26.3,7435.047,3.6765,790326.0,27.83876526901557
Noord-Amerika,Haiti,22614.0,643.0,1959.333,55.711,,,88133.0,62929.0,25545.0,24.3,1653.173,415.9166,11541685.0,0.22132816828738613
Noord-Amerika,Honduras,370262.0,10009.0,36794.417,994.634,,,5817602.0,3336972.0,2481005.0,24.9,4541.795,89.4552,10062991.0,24.654747281399736
Azië,Hong Kong,12268.0,213.0,1624.298,28.201,25906063.0,0.0,8835322.0,4540819.0,4294503.0,44.8,56054.92,6841.3134,7552810.0,56.8596720955512
Europa,Hungary,829456.0,30303.0,86095.293,3145.37,6620866.0,0.05,12111107.0,5911737.0,5682396.0,43.4,26777.561,103.562,9634164.0,58.98172379046069
Europa,Iceland,12243.0,33.0,35656.454,96.109,650933.0,,558483.0,282036.0,277210.0,37.3,46482.958,3.3335,343353.0,80.73615200682679
Azië,India,33985920.0,450963.0,24390.483,323.64,583631490.0,0.014,954908095.0,685337489.0,269570606.0,28.2,6426.674,423.8391,1393409038.0,19.34612153707015
Azië,Indonesia,4228552.0,142716.0,15300.784,516.41,,,157929575.0,100322375.0,57607200.0,29.3,11188.744,145.1046,276361783.0,20.84485031709323
Azië,Iran,5716394.0,122868.0,67228.947,1445.017,33350660.0,0.106,57676540.0,40961153.0,16715387.0,32.4,19082.62,51.589,85028759.0,19.6585098931057
Azië,Iraq,2024705.0,22591.0,49167.968,548.6,15338457.0,0.107,,,,20.0,15663.986,93.9488,41179350.0,
Europa,Ireland,404514.0,5280.0,81180.372,1059.623,7668724.0,0.073,7238787.0,3777477.0,3697101.0,38.7,67335.293,70.9078,4982907.0,74.19566530139936
Europa,Isle of Man,,,,,,,129494.0,65485.0,64009.0,,,149.3182,85410.0,74.94321508020138
Azië,Israel,1307870.0,7940.0,148794.463,903.322,28327710.0,0.021,15647667.0,6188116.0,5687293.0,30.6,33132.32,423.1957,8789774.0,64.7035179744098
Europa,Italy,4701832.0,131335.0,77886.847,2175.592,95331171.0,0.009,86449863.0,45821960.0,41766516.0,47.9,35220.084,200.3328,60367477.0,69.18711543965968
Noord-Amerika,Jamaica,86384.0,2025.0,29051.658,681.024,617665.0,0.141,836309.0,551804.0,319092.0,31.4,8193.571,270.5362,2973463.0,10.731325730301672
Azië,Japan,1712127.0,17972.0,13582.834,142.577,24344819.0,0.014,175700765.0,93651522.0,82049243.0,48.2,39002.223,333.5295,126050804.0,65.09220123657443
Azië,Jordan,834778.0,10818.0,81290.896,1053.46,10237614.0,0.036,7153612.0,3784104.0,3369508.0,23.2,8337.49,114.9406,10269021.0,32.81235864645715
Azië,Kazakhstan,984398.0,16473.0,51824.174,867.23,,,14760444.0,7859131.0,6901313.0,30.6,24055.588,6.9709,18994962.0,36.332333805142646
Afrika,Kenya,251248.0,5190.0,4569.333,94.388,,,4183552.0,3135700.0,1047852.0,20.0,2993.028,94.743,54985698.0,1.9056810009031804
Oceanië,Kiribati,2.0,,16.476,,,,45402.0,37643.0,7759.0,23.2,1981.132,149.6819,121392.0,6.3916897324370625
Azië,Kuwait,412121.0,2455.0,95209.877,567.164,4389988.0,0.002,,,,33.7,65530.537,242.9313,4328550.0,
Azië,Kyrgyzstan,179338.0,2620.0,27056.218,395.272,,,1545233.0,880003.0,663856.0,26.3,3393.474,33.1499,6628356.0,10.015394465837382
Azië,Laos,28849.0,30.0,3909.419,4.065,612410.0,0.083,,2983763.0,2080368.0,24.4,6397.36,31.1628,7379358.0,28.191720743186604
